"date"	"title"
"2020-01-24"	"Таксист отказался везти россиянку с наростами на лице"
"2020-01-24"	"Блокадники Ленинграда отреагировали на миллионы евро от Германии"
"2020-01-24"	"На улице российского города нашли голого трехлетнего мальчика"
"2020-01-24"	"Кремль оценил миллионы евро от Германии для блокадников Ленинграда"
"2020-01-24"	"Поведению «подрессировавшего» пожарных главы Чувашии нашли объяснение"
"2020-01-24"	"Крыша завода под тяжестью снега рухнула на россиян"
"2020-01-24"	"В «Единой России» назвали уродством поведение главы Чувашии"
"2020-01-25"	"В ОНФ прокомментировали поведение «подрессировавшего» пожарных главы Чувашии"
"2020-01-25"	"В России оценили  «рассекреченный доклад ЦРУ» о Бандере"
"2020-01-25"	"Владислав Сурков ушел с госслужбы"
"2020-01-25"	"Еще одного китайца госпитализировали в России с подозрением на коронавирус"
"2020-01-25"	"Российский губернатор зачитал рэп"
"2020-01-25"	"В российском городе отменили занятия в школах из-за 40-градусных морозов"
"2020-01-25"	"Смертельный китайский вирус обошел Россию стороной"
"2020-01-25"	"В Кремле прокомментировали данные об отставке помощника Путина"
"2020-01-25"	"В России «Татьяну года» наградили поездкой в Китай"
"2020-01-25"	"В Кремле опровергли смену курса на украинском направлении"
"2020-01-25"	"Россиянину за год выписали 650 штрафов за нарушение ПДД"
"2020-01-25"	"В России двое мужчин провалились под лед и погибли"
"2020-01-25"	"Ветеран Великой Отечественной почти сутки пролежала в коридоре больницы"
"2020-01-25"	"Путин поручил проверить дело осужденного на четыре года за появление на митинге"
"2020-01-25"	"На Урале и в Сибири стартовали полуфиналы «Лидеров России»"
"2020-01-25"	"В Совете Федерации ответили на требование Качиньского о компенсации с России"
"2020-01-25"	"У вернувшегося из Китая российского школьника заподозрили коронавирус"
"2020-01-25"	"На полуфинал «Лидеров России» пришла вся семья беременной конкурсантки"
"2020-01-25"	"Путин поручил сократить сроки рассмотрения заявлений на маткапитал"
"2020-01-25"	"Поклонская обратилась к Зеленскому"
"2020-01-25"	"В России начали расчищать дороги военными бульдозерами"
"2020-01-25"	"В РПЦ объяснили надобность золотых куполов"
"2020-01-25"	"Жириновский объявил китайский коронавирус провокацией США"
"2020-01-25"	"В Москве госпитализировали нескольких китайцев с высокой температурой"
"2020-01-25"	"Поведение «подрессировавшего» пожарных главы Чувашии назвали обычным"
"2020-01-25"	"Появились подробности госпитализации китайцев с высокой температурой в Москве"
"2020-01-26"	"Россиянам пообещали февраль с погодными «отклонениями»"
"2020-01-26"	"Минздрав назвал количество заразившихся коронавирусом на границе с Россией"
"2020-01-26"	"У попавших в московскую больницу китайцев не нашли коронавирус"
"2020-01-26"	"В России отреагировали на слова Кравчука о возврате Донбасса"
"2020-01-26"	"В России рассказали о накале обстановки из-за готовящейся «войны 2028 года»"
"2020-01-26"	"Россиянам дали рекомендации по профилактике коронавируса"
"2020-01-26"	"Сотни российских рыбаков откололись и уплыли на льдине"
"2020-01-26"	"Психолог назвала способ отвлечь ребенка от гаджета перед сном"
"2020-01-26"	"В России объяснили требование Польшей компенсации историческими обидами"
"2020-01-26"	"В Крыму прокомментировали схемы Кравчука по возврату полуострова"
"2020-01-26"	"Нашлась мать детей-«маугли» из заброшенного дома под Читой"
"2020-01-26"	"Губернатор Краснодарского края сравнил гигантскую свалку с Мамаевым курганом"
"2020-01-26"	"В Москве нашли труп студентки"
"2020-01-26"	"Кремль объяснил отставку правительства Медведева"
"2020-01-26"	"Жена главы Чувашии прокомментировала поведение «подрессировавшего» пожарных мужа"
"2020-01-26"	"Песков рассказал об эффективном контакте Путина и Зеленского"
"2020-01-26"	"В России заявили о случаях передачи рака от человека к человеку"
"2020-01-26"	"Путину донесут на сравнившего гигантскую свалку с Мамаевым курганом губернатора"
"2020-01-26"	"В жилом доме в Махачкале произошел взрыв"
"2020-01-26"	"За коллаж на Кадырова задержали 25 человек"
"2020-01-26"	"Подозреваемая в убийстве двоих детей многодетная россиянка умерла в больнице"
"2020-01-26"	"Опубликовано фото Путина с израильским спецназом"
"2020-01-26"	"В Екатеринбурге оцепили поезд из Китая из-за подозрений на коронавирус"
"2020-01-26"	"Ребенок устроил взрыв в доме в Махачкале и попал на видео"
"2020-01-26"	"Умер протоиерей Всеволод Чаплин"
"2020-01-26"	"Пьяный российский полицейский насмерть сбил человека"
"2020-01-26"	"ФСБ займется поиском пропавшего студента медицинского вуза"
"2020-01-26"	"Названа возможная причина смерти Всеволода Чаплина"
"2020-01-26"	"Раскрыты обстоятельства смерти Всеволода Чаплина"
"2020-01-27"	"Стала известна судьба брошенных в Шереметьево детей"
"2020-01-27"	"Россиян предложили наказывать за скрутку пробега автомобилей"
"2020-01-27"	"Брошенные в Шереметьево дети оказались не нужны родным"
"2020-01-27"	"Найдена мать брошенных в Шереметьево детей"
"2020-01-27"	"Россиянка запретила врачам лечить 14-летнюю дочь весом 25 килограммов"
"2020-01-27"	"В российском городе ввели режим ЧС из-за снега"
"2020-01-27"	"Раскрыта процедура помилования осужденной за гашиш израильтянки"
"2020-01-27"	"Двоих российских школьников насмерть засыпало снегом"
"2020-01-27"	"Оставивший двух детей в Шереметьево россиянин попал на камеры"
"2020-01-27"	"Названы особенности состава финалистов конкурса «Лидеры России»"
"2020-01-27"	"Возбуждено уголовное дело против оставившего двух детей в Шереметьево россиянина"
"2020-01-27"	"Оставившему двух детей в Шереметьево россиянину пообещали найти работу"
"2020-01-27"	"«Подрессировавший» пожарных глава Чувашии выразил им уважение"
"2020-01-27"	"Темнокожий студент извинился перед осетинами за танец с девушкой"
"2020-01-27"	"Россиянам рассказали о существовании десятков лекарств от коронавируса"
"2020-01-27"	"Знакомая рассказала о матери двух брошенных в Шереметьево детей"
"2020-01-27"	"В России проверили более ста человек с подозрением на коронавирус"
"2020-01-27"	"В московском метро назвали число выявленных в 2019 году нарушений"
"2020-01-27"	"У российского подростка во рту взорвалась электронная сигарета"
"2020-01-27"	"В российском детсаду с протекшей крышей решили проблему тазиками"
"2020-01-27"	"Правительство Ингушетии ушло в отставку"
"2020-01-27"	"Оставивший двоих детей в Шереметьево россиянин нашелся"
"2020-01-27"	"Чиновники решили судьбу брошенных в Шереметьево детей"
"2020-01-27"	"Кремль сообщил об отсутствии приказа об увольнении Суркова"
"2020-01-27"	"Кремль прокомментировал ситуацию с коронавирусом"
"2020-01-27"	"В Кремле отреагировали на поведение главы Чувашии"
"2020-01-27"	"Кремль подтвердил прошение осужденной за гашиш израильтянки о помиловании"
"2020-01-27"	"В Совфеде предложили изменить преамбулу Конституции"
"2020-01-27"	"Смысл общего голосования после принятия поправок в Конституцию объяснили"
"2020-01-27"	"Органы власти рассмотрят не вошедшие в Конституцию предложения"
"2020-01-28"	"Российские инспекторы посетят американский военный объект в Германии"
"2020-01-28"	"Соавтор статьи о нарушении правил проведения митингов предложил ее изменить"
"2020-01-28"	"Роспотребнадзор окажет помощь ВОЗ в диагностике коронавируса"
"2020-01-28"	"Стало известно о скорой отставке главы Чувашии"
"2020-01-28"	"Мать брошенных в Шереметьево детей объяснила разрыв отношений с семьей"
"2020-01-28"	"Названо число получивших российское гражданство жителей Донбасса"
"2020-01-28"	"Россиянка подбросила ребенка с ДЦП в отделение полиции и убежала"
"2020-01-28"	"В Совете Федерации ответили на слова Зеленского о вине СССР во Второй мировой"
"2020-01-28"	"Подсчитаны масштабы притока мигрантов в Россию"
"2020-01-28"	"Оставивший двоих детей в Шереметьево россиянин сам пришел к следователям"
"2020-01-28"	"Россияне оказались недовольны милитаризмом Дня Победы"
"2020-01-28"	"Рассекречены имена семи выдающихся разведчиков СССР и России"
"2020-01-28"	"Российским автомобилистам назвали ошибки при торможении в гололед"
"2020-01-28"	"В Охотском море затонул российский траулер"
"2020-01-28"	"Россиянам пообещали рост благосостояния после принятия поправок в Конституцию"
"2020-01-28"	"В администрации главы Чувашии прокомментировали сообщения о его отставке"
"2020-01-28"	"Родителей прожившей пять лет в клинике девочки объявили в розыск"
"2020-01-28"	"Зеленского обвинили в плевке в лицо ветеранам Великой Отечественной войны"
"2020-01-28"	"Поклонская оценила слова Зеленского о вине СССР за развязывание Второй мировой"
"2020-01-28"	"Россиянин поджег бывшую жену в магазине"
"2020-01-28"	"Собака прокусила лицо российской школьнице"
"2020-01-28"	"Напавшему на журналиста российскому чиновнику вынесли приговор"
"2020-01-28"	"Кремль ответил на слова Зеленского о вине СССР за развязывание Второй мировой"
"2020-01-28"	"Песков ответил на вопрос об отставке главы Чувашии"
"2020-01-28"	"Кремль прокомментировал возможное помилование осужденной за гашиш израильтянки"
"2020-01-28"	"В Северодвинске зафиксировали скачок радиации"
"2020-01-28"	"У подожженной бывшим мужем россиянки полностью обгорело лицо"
"2020-01-28"	"Кремль усомнился в скорой нормализации отношений с Украиной"
"2020-01-28"	"В Кремле ответили на вопрос о нежелании Путина отпускать Суркова"
"2020-01-28"	"Россиянка попросила полицию забрать в армию заблокировавшего ее в соцсетях сына"
"2020-01-29"	"Названо число «скрывающихся» от государства россиян"
"2020-01-29"	"Назван возможный срок появления коронавируса в России"
"2020-01-29"	"В Россию вернулась советская практика «касс взаимопомощи» на работе"
"2020-01-29"	"Между вице-премьерами распределили обязанности"
"2020-01-29"	"Исключенный из ЛДПР за глупость бывший депутат решил вернуться в Госдуму"
"2020-01-29"	"Россиян предупредили о 30-градусных морозах"
"2020-01-29"	"Россиянам назвали опасные для жизни осложнения гриппа"
"2020-01-29"	"Родственники оставленных в Шереметьево детей выразили готовность забрать их"
"2020-01-29"	"Россиянка убила трехлетнего сына и покончила с собой"
"2020-01-29"	"Роскачество предрекло школьникам потливость из-за формы"
"2020-01-29"	"Мишустин утвердил состав оперативного штаба по борьбе с коронавирусом"
"2020-01-29"	"Стиральная машина убила россиянина током"
"2020-01-29"	"Годовалый россиянин отравился гашишем"
"2020-01-29"	"В России оценили слова Кравчука о «встрече» Гитлера и Сталина во Львове"
"2020-01-29"	"Россиянин отравил грудного ребенка подмешанным в еду снотворным"
"2020-01-29"	"Бросившего двоих детей в Шереметьево отца отпустили"
"2020-01-29"	"Россиянка попыталась успокоить внука ударом тарелкой по голове"
"2020-01-29"	"Россиянин вскрыл автомат с игрушками и принялся раздавать их детям"
"2020-01-29"	"Названа возможная дата общероссийского голосования по поправкам к Конституции"
"2020-01-29"	"Глава Минздрава рассказал о мерах борьбы с коронавирусом в России"
"2020-01-29"	"Кремль прокомментировал слова Зеленского о вине СССР за начало Второй мировой"
"2020-01-29"	"Кремль отреагировал на идею возрождения должности верховного правителя России"
"2020-01-29"	"В Кремле уточнят вопрос приглашения Зеленского в Москву на 75-летие Победы"
"2020-01-29"	"В преамбуле Конституции предложили закрепить роль гражданского общества"
"2020-01-29"	"Володин оценил слова Зеленского о Второй мировой войне"
"2020-01-29"	"Москвичам пообещали снежный февраль"
"2020-01-29"	"Кадыров ответил на сообщения о задержании 25 человек из-за коллажа на него"
"2020-01-29"	"Мать оставленной на крыльце больницы девочки захотела ее вернуть"
"2020-01-29"	"В Москве бригады медиков отправят к гостиницам с туристами из Китая"
"2020-01-30"	"Путин разрешил россиянам охотиться с луком и стрелами"
"2020-01-30"	"В России сравнили США с беззубым псом"
"2020-01-30"	"Российский чиновник пригрозил «набить морду» коллеге за негатив в соцсети"
"2020-01-30"	"В Госдуме назвали бесполезными новые антироссийские санкции США"
"2020-01-30"	"Россиянам раскрыли распространенные методы угона автомобилей"
"2020-01-30"	"Россиянин сломал восьмилетнему сыну челюсть за грубый ответ матери"
"2020-01-30"	"В России четвероклассник поджег школу"
"2020-01-30"	"Крымские чиновницы в шубах подарили блокадникам по батону и медали"
"2020-01-30"	"Заподозренный в запое российский губернатор выписался из больницы"
"2020-01-30"	"Кассир российского супермаркета одним ударом убил покупателя за банку кофе"
"2020-01-30"	"Россиянка обожглась «Кротом»"
"2020-01-30"	"Чиновниц в шубах обвинили в унижении блокадников из-за вручения батонов"
"2020-01-30"	"Патриарх Кирилл запретил высшему духовенству появляться на похоронах Чаплина"
"2020-01-30"	"Минздрав назвал три препарата для лечения коронавируса"
"2020-01-30"	"Мишустин закрыл границу на Дальнем Востоке"
"2020-01-30"	"Вручившая блокадникам хлеб чиновница обвинила россиян в неразборчивости в шубах"
"2020-01-30"	"«Тюремные» способы передачи сигарет в российский роддом показали на фото"
"2020-01-30"	"Мишустин заявил о персональной ответственности вице-премьеров за подчиненных"
"2020-01-30"	"Российский суд обязал детей-сирот оплатить кредиты умершей матери"
"2020-01-30"	"Рабочая группа по подготовке поправок к Конституции начала мозговой штурм"
"2020-01-30"	"Подаренный керченским блокадникам хлеб оказался пирогом с мясом"
"2020-01-30"	"Вирусолог оценил вероятность «доставки» вируса в Россию в посылках с AliExpress"
"2020-01-30"	"Призванную противостоять коронавирусу российскую систему биозащиты оценили"
"2020-01-30"	"Россиянка пропала после поездки на BlaBlaCar"
"2020-01-30"	"Брошенных в аэропорту Шереметьево детей поместили в реабилитационный центр"
"2020-01-30"	"Мишустин раскритиковал работу правительства"
"2020-01-30"	"Названа дата закрытия границы России с Китаем"
"2020-01-30"	"Испугавшегося пыток на родине узбекского гея вышлют из России"
"2020-01-31"	"Блокадница прокомментировала скандал с подаренным чиновницами в шубах «батоном»"
"2020-01-31"	"Путин оценил призыв Силуанова к бережливости"
"2020-01-31"	"Автомобилистам увеличат штрафы в новой редакции КоАП"
"2020-01-31"	"Названа причина разводов среди молодых россиян"
"2020-01-31"	"В России предложили изменить наказание водителям за употребление лекарств"
"2020-01-31"	"Россиян предупредили о новом виде клопов"
"2020-01-31"	"Правительство Чувашии в полном составе ушло в отставку"
"2020-01-31"	"Российских студентов-очников предложили кормить бесплатно"
"2020-01-31"	"В Совфеде оценили резолюцию ПАСЕ с претензиями в адрес России"
"2020-01-31"	"Пришедшая в шубе дарить блокаднице «батон» чиновница передумала уходить в отставку"
"2020-01-31"	"Москвичам пообещали «морозище»"
"2020-01-31"	"При взрыве на российском заводе погибли рабочие"
"2020-01-31"	"В Чувашии захотели создать кодекс для чиновников после скандалов с губернатором"
"2020-01-31"	"При взрыве на российском заводе погиб иностранец"
"2020-01-31"	"Аксенов оценил нежелание главы горсовета Керчи увольняться"
"2020-01-31"	"Число погибших при взрыве на заводе под Орлом выросло"
"2020-01-31"	"Российскому школьнику выбили глаз молотком после поручения поискать наркотики"
"2020-01-31"	"В Москве захотели снизить нештрафуемый порог превышения скорости"
"2020-01-31"	"Названы меры профилактики коронавируса"
"2020-01-31"	"Поклонская оценила резолюцию ПАСЕ с претензиями в адрес России"
"2020-01-31"	"Кремль ответил на обвинение Эрдогана в нарушении договора по Сирии"
"2020-01-31"	"Американца Льюиса Четвертого поймали в шахте петербургского метро"
"2020-01-31"	"Кремль прокомментировал инцидент с подаренными блокадницам «батонами»"
"2020-01-31"	"Кремль сообщил об угрозе завоза китайского коронавируса в Россию"
"2020-01-31"	"Новый проект КоАП назвали противоречащим посланию Путина"
"2020-01-31"	"Спасение российского ребенка от стаи бездомных собак попало на видео"
"2020-01-31"	"Россиян пристыдили за коллаж с Кадыровым"
"2020-01-31"	"Керченским блокадникам помогут после скандала с подаренными «батонами»"
"2020-02-01"	"В московском метро подорожал проезд"
"2020-02-01"	"Опубликован последний разговор погибшего при обрушении спорткомплекса рабочего"
"2020-02-01"	"Россиянам напомнили о короткой рабочей неделе в феврале"
"2020-02-01"	"Власти рассказали о состоянии первого зараженного коронавирусом в России"
"2020-02-01"	"Началась эвакуация россиян из Китая"
"2020-02-01"	"Штрафы для российских таксистов задумали повысить в два раза"
"2020-02-01"	"В России отменили тысячи советских законов"
"2020-02-01"	"Бабушка брошенных в Шереметьево детей пожаловалась на угрозы их отца"
"2020-02-01"	"Россиянку с эпилепсией приняли за пьяную, избили и поместили в вытрезвитель"
"2020-02-01"	"Раскрыты подробности состояния второй пациентки с коронавирусом в России"
"2020-02-01"	"Поклонская объяснила эпидемию коронавируса заговором против Китая"
"2020-02-01"	"Минтруд опроверг информацию об изменении правил увольнения"
"2020-02-01"	"В России пенсионер открыл стрельбу по устроившим пьянку в подъезде"
"2020-02-01"	"Умер высокопоставленный чиновник времен СССР"
"2020-02-01"	"Россиянин избил в больнице беременную женщину-врача"
"2020-02-01"	"Путин отправил за россиянами в Китай самолеты ВКС"
"2020-02-01"	"Еще один человек в России госпитализирован с подозрением на коронавирус"
"2020-02-01"	"В российской школе учительскую перенесли в туалет"
"2020-02-01"	"Захар Прилепин создал в России партию «За правду»"
"2020-02-01"	"В России отреагировали на идею продажи украинской воды в Крым"
"2020-02-01"	"Патриарх Кирилл предложил вписать Бога в Конституцию"
"2020-02-01"	"Госпитализированная из-за коронавируса россиянка рассказала о лечении"
"2020-02-01"	"Стали известны подробности эвакуации россиян из Китая"
"2020-02-01"	"В российском регионе выявлена вспышка африканской чумы свиней"
"2020-02-01"	"Полицейские спасли запертого отцом в машине ребенка"
"2020-02-01"	"В российском городе 13 человек отравились хлоркой"
"2020-02-01"	"Пушков оценил переговоры Белоруссии и США"
"2020-02-02"	"В Госдуме допустили возможность вписать Бога в Конституцию"
"2020-02-02"	"В Крыму усомнились в способности Украины поставлять воду на полуостров"
"2020-02-02"	"При обрушении крыши кафе в российском городе погибла девушка"
"2020-02-02"	"Число пострадавших при обрушении кафе в российском городе выросло"
"2020-02-02"	"В Госдуме предложили вернуть привязку штрафов к МРОТ"
"2020-02-02"	"Задержан организатор вечеринки в кафе с обрушившейся кровлей"
"2020-02-02"	"В Петербурге загорелось здание «Лениздата»"
"2020-02-02"	"Названы российские регионы с самой большой убылью населения"
"2020-02-02"	"Зараженный коронавирусом китаец пожаловался на условия в российской больнице"
"2020-02-02"	"Из московской квартиры украли сейф с деньгами и украшениями на семь миллионов"
"2020-02-02"	"Российские мусульмане предложили закрепить в Конституции поддержку религий"
"2020-02-02"	"Граждане Китая начали покидать Приморский край из-за смертельного вируса"
"2020-02-02"	"Россиянин попытался продать ребенка за пять тысяч рублей"
"2020-02-02"	"Кремль объяснил отставку главы Чувашии"
"2020-02-02"	"Поклонская объявила себя крымской «няш-мяш» и снялась в «голливудской» фотосессии"
"2020-02-02"	"Предложенное Минздравом лекарство от коронавируса сочли неэффективным"
"2020-02-02"	"В Кремле заявили о несоответствии «сделки века» резолюциям Совбеза ООН"
"2020-02-02"	"Минздрав пообещал проверить больницу из-за жалобы китайца с коронавирусом"
"2020-02-02"	"Все члены правительства Медведева нашли новую работу"
"2020-02-02"	"Евреи России высказались об упоминании религии в Конституции"
"2020-02-02"	"В районах Приморья ввели чрезвычайную ситуацию из-за китайского вируса"
"2020-02-02"	"Россия приравняла коронавирус к ВИЧ и чуме"
"2020-02-02"	"В Москве попавшую в ДТП машину разорвало на две части"
"2020-02-02"	"В российской больнице ответили на жалобы китайца с коронавирусом"
"2020-02-02"	"В Госдуме захотели справиться с убылью населения в регионах"
"2020-02-03"	"Вернувшихся из Китая российских студентов отправили учиться дистанционно"
"2020-02-03"	"Россияне поддержали поправки в Конституцию"
"2020-02-03"	"Российским домохозяйкам предложили платить пособие"
"2020-02-03"	"Захарова ответила на заявление Эстонии о Тартуском договоре"
"2020-02-03"	"Школы на Дальнем Востоке эвакуировали из-за сообщений об угрозах"
"2020-02-03"	"В России захотели запретить прием посылок из Китая"
"2020-02-03"	"Брошенных в Шереметьево детей отдали опекунам"
"2020-02-03"	"МВД захотело изменить внешний вид автомобильных номеров"
"2020-02-03"	"Мишустин распорядился депортировать иностранцев с коронавирусом"
"2020-02-03"	"Российский школьник пошел в магазин и внезапно умер"
"2020-02-03"	"Главу горсовета Керчи отправили в отставку после скандала с блокадниками"
"2020-02-03"	"В российском регионе резко подскочили цены в аптеках из-за коронавируса"
"2020-02-03"	"Пожаловавшегося на российскую больницу китайца обеспечат увлажнителем воздуха"
"2020-02-03"	"Умер предлагавший «пристрелить» недовольных граждан российский чиновник"
"2020-02-03"	"Подарившая блокадникам «батоны» чиновница заявила об отсутствии чувства вины"
"2020-02-03"	"Пьяная россиянка посадила за руль ребенка"
"2020-02-03"	"В российском городе на Поклонном кресте нашли труп"
"2020-02-03"	"13-летняя россиянка прилегла во время дня рождения и умерла"
"2020-02-03"	"Кореец привел украинку в московскую квартиру, выпил с ней и нашел мертвой"
"2020-02-03"	"Кремль оценил вероятность «сверхбыстрого сближения» Белоруссии и США"
"2020-02-03"	"Кремль напомнил Эрдогану о приглашении в Крым"
"2020-02-03"	"Российских священников возмутили автомобильные номера с кодом 666"
"2020-02-03"	"Врач оценил риск заражения россиян коронавирусом через посылки из Китая"
"2020-02-03"	"Пьяный россиянин изнасиловал жену на глазах несовершеннолетних дочерей"
"2020-02-03"	"Для приема предложений по поправкам к Конституции задействовали соцсети"
"2020-02-03"	"Назначен новый руководитель Гидрометцентра России"
"2020-02-03"	"Кремль прокомментировал идею упомянуть бога в Конституции"
"2020-02-03"	"Российский бармен сломал клиенту шею при «экстремальной» подаче коктейля"
"2020-02-03"	"Новый глава Гидрометцентра объяснил погодные аномалии в России"
"2020-02-04"	"В Совфеде одобрили идею поднятия стипендий до прожиточного минимума"
"2020-02-04"	"Минобороны скрытно перебросило пять самолетов для эвакуации россиян из Китая"
"2020-02-04"	"Минздрав поддержал запрет на курение в коммуналках"
"2020-02-04"	"Россиянам раскрыли способы избежать онкологических заболеваний"
"2020-02-04"	"Россиянка украла более полумиллиона рублей у пенсионеров и инвалидов"
"2020-02-04"	"В России предложили высаживать из электричек за плохой запах и пение"
"2020-02-04"	"В российском регионе заявили о нехватке денег на школы и детские сады"
"2020-02-04"	"Бабушка и трое детей сгорели в частном доме"
"2020-02-04"	"Врач помог россиянину уклониться от армии и лишился миллионов рублей"
"2020-02-04"	"Раскрыто состояние зараженного коронавирусом гражданина Китая в России"
"2020-02-04"	"Правительство России ограничило въезд иностранцев из Китая"
"2020-02-04"	"Умер основатель Шанинки Теодор Шанин"
"2020-02-04"	"Россиянам раскрыли опасность бокала вина за ужином"
"2020-02-04"	"В Совфеде оценили подготовку Украиной новых исков против России"
"2020-02-04"	"Определено место для эвакуации россиян из Китая"
"2020-02-04"	"Россия начала подготовку к масштабному распространению коронавируса"
"2020-02-04"	"У России возникли сложности с вакциной от коронавируса"
"2020-02-04"	"В Минздраве назвали время появления результатов борьбы с коронавирусом"
"2020-02-04"	"Промышленное производство выросло в Подмосковье"
"2020-02-04"	"Китайцы приступили к испытаниям российского препарата против коронавируса"
"2020-02-04"	"Россиянка родила дома и 40 раз ударила младенца ножницами"
"2020-02-04"	"В России придумали способ получить живой штамм коронавируса для вакцины"
"2020-02-04"	"В российском регионе на горячее питание школьников потратят по 5 рублей в день"
"2020-02-04"	"Кремль уточнил дату встречи Путина и Лукашенко"
"2020-02-04"	"Минобороны отправило в Китай первый самолет для эвакуации россиян"
"2020-02-04"	"Песков рассказал о получении Путиным информации о ситуации с коронавирусом"
"2020-02-04"	"Российский министр здравоохранения защитился от коронавируса горнолыжной маской"
"2020-02-04"	"Всех желающих москвичей бесплатно проверят на шесть видов рака"
"2020-02-04"	"Стрелков отреагировал на обвинения по делу о крушении MH17"
"2020-02-04"	"Кремль ответил на вопрос об участии Польши в торжествах в честь 75-летия Победы"
"2020-02-05"	"Подготовлен порядок ввоза незарегистрированных лекарств в Россию"
"2020-02-05"	"Второй самолет с эвакуированными из Уханя туристами прибыл в Россию"
"2020-02-05"	"В Крыму ответили на заявление госсекретаря США о российском полуострове"
"2020-02-05"	"Задолжавших зарплату предложили наказывать десятью годами тюрьмы"
"2020-02-05"	"В Конституцию России предложили внести девиз страны"
"2020-02-05"	"Риск распространения коронавируса от эвакуированных из Китая россиян оценили"
"2020-02-05"	"Первый самолет с эвакуированными из Китая россиянами прибыл в Тюмень"
"2020-02-05"	"В России захотели создать почти 40 новых политических партий"
"2020-02-05"	"Стало известно о состоянии прибывших из Китая россиян"
"2020-02-05"	"Россиянин заехал на автомобиле на детскую горку и попал на видео"
"2020-02-05"	"Тело спрятавшего алкоголь в лесу россиянина нашли с обглоданным лицом"
"2020-02-05"	"Главы российских регионов поддержали законопроект о «народном» бюджете"
"2020-02-05"	"В Госдуме оценили заявление госсекретаря США о российском Крыме"
"2020-02-05"	"Появилось видео допроса избившего ребенка на камеру россиянина"
"2020-02-05"	"Зараженный коронавирусом китаец рассказал о лечении в российской больнице"
"2020-02-05"	"Второй самолет с россиянами из охваченного эпидемией города прибыл в Тюмень"
"2020-02-05"	"Кремль оценил внесение в Конституцию нормы об индексации пенсий"
"2020-02-05"	"Кремль отреагировал на проблемы с публиковавшим компромат Telegram-каналом"
"2020-02-05"	"Роспотребнадзор заявил об отсутствии препарата от китайского коронавируса"
"2020-02-05"	"Пьяный россиянин убил товарища, посадил его на детские качели и продолжил пить"
"2020-02-05"	"Россиянам назвали коварное качество пива"
"2020-02-05"	"В Кремле оценили необходимость наказания за оскорбление президента"
"2020-02-05"	"Критиковавшая россиянок за межрасовый секс депутат устыдилась немецких корней"
"2020-02-05"	"Путин заявил о приближении человечества к опасной черте"
"2020-02-05"	"Жители российского региона отреагировали на территориальные претензии Эстонии"
"2020-02-05"	"Для помощи ветеранам создали мобильное приложение"
