Дата,Регион,Значение
2020-09-01,Москва,23.47975323
2020-09-01,Московская область,33.4125217
2020-09-01,Мурманская область,70.38420865
2020-09-01,Нижегородская область,36.90362333
2020-09-01,Новгородская область,50.05497673
2020-09-01,Новосибирская область,36.39279188
2020-09-01,Омская область,45.68363367
2020-09-01,Оренбургская область,50.99636354
2020-09-01,Орловская область,49.9966564
2020-09-01,Пензенская область,44.38135064
2020-09-01,Пермский край,42.28407918
2020-09-01,Приморский край,31.50123953
2020-09-01,Псковская область,53.0927072
2020-09-01,Республика Башкортостан,40.12197858
2020-09-01,Республика Бурятия,43.83486373
2020-09-01,Республика Дагестан,49.32741236
2020-09-01,Республика Ингушетия,72.38983817
2020-09-01,Республика Калмыкия,56.33134527
2020-09-01,Республика Карачаево-Черкессия,48.36847324
2020-09-01,Республика Карелия,47.6611485
2020-09-01,Республика Коми,56.3564368
2020-09-01,Республика Марий Эл,51.75612916
2020-09-01,Республика Саха (Якутия),40.05019054
2020-09-01,Республика Северная Осетия-Алания,54.93896917
2020-09-01,Республика Татарстан,35.00615273
2020-09-01,Республика Тыва,30.36591331
2020-09-01,Республика Хакасия,51.00646867
2020-09-01,Ростовская область,42.40108516
2020-09-01,Рязанская область,48.03211725
2020-09-01,Самарская область,45.49873402
2020-09-01,Санкт-Петербург,28.23255181
2020-09-01,Саратовская область,54.49600641
2020-09-01,Сахалинская область,33.79755904
2020-09-01,Свердловская область,39.7192063
2020-09-01,Смоленская область,52.45621475
2020-09-01,Ставропольский край,45.93906662
2020-09-01,Тамбовская область,45.19230557
2020-09-01,Тверская область,46.17487565
2020-09-01,Томская область,41.83963087
2020-09-01,Тульская область,43.65033169
2020-09-01,Тюменская область,40.78038347
2020-09-01,Удмуртская Республика,42.56901702
2020-09-01,Ульяновская область,48.97361039
2020-09-01,Хабаровский край,40.58426877
2020-09-01,Челябинская область,54.07616585
2020-09-01,Чеченская Республика,67.09012302
2020-09-01,Чувашская Республика,46.65497116
2020-09-01,Чукотский АО,50.05428427
2020-09-01,Ярославская область,48.2261002
2020-10-01,Россия,37.26039201
2020-10-01,Адыгея,45.02926789
2020-10-01,Алтай,40.49692851
2020-10-01,Алтайский край,41.10501605
2020-10-01,Амурская область,39.77390833
2020-10-01,Архангельская область,45.01812768
2020-10-01,Астраханская область,46.07496552
2020-10-01,Белгородская область,43.11945088
2020-10-01,Брянская область,53.62893308
2020-10-01,Владимирская область,51.90684844
2020-10-01,Волгоградская область,46.7133466
2020-10-01,Вологодская область,49.60630048
2020-10-01,Воронежская область,46.1498278
2020-10-01,Еврейская автономная область,58.77642118
2020-10-01,Забайкальский край,39.89124806
2020-10-01,Ивановская область,49.48012375
2020-10-01,Иркутская область,42.7472127
2020-10-01,Кабардино-Балкарская Республика,53.09398901
2020-10-01,Калининградская область,41.95643608
2020-10-01,Калужская область,44.99345661
2020-10-01,Камчатский край,57.90514187
2020-10-01,Кемеровская область,51.95678908
2020-10-01,Кировская область,45.30696997
2020-10-01,Костромская область,41.22694917
2020-10-01,Краснодарский край,35.61967424
2020-10-01,Красноярский край,47.67412646
2020-10-01,Курганская область,50.32130921
2020-10-01,Курская область,47.79862741
2020-10-01,Ленинградская область,35.13232058
2020-10-01,Липецкая область,48.55885337
2020-10-01,Магаданская область,84.43279647
2020-10-01,Мордовия,49.13442108
2020-10-01,Москва,23.11450294
2020-10-01,Московская область,32.82616621
2020-10-01,Мурманская область,69.08508116
2020-10-01,Нижегородская область,36.41651206
2020-10-01,Новгородская область,50.5464225
2020-10-01,Новосибирская область,35.54707377
2020-10-01,Омская область,44.96011592
2020-10-01,Оренбургская область,51.40015667
2020-10-01,Орловская область,47.78419046
2020-10-01,Пензенская область,44.3936119
2020-10-01,Пермский край,42.42326464
2020-10-01,Приморский край,30.8631567
2020-10-01,Псковская область,52.29356708
2020-10-01,Республика Башкортостан,40.93950996
2020-10-01,Республика Бурятия,43.43175188
2020-10-01,Республика Дагестан,49.46980252
2020-10-01,Республика Ингушетия,70.72475232
2020-10-01,Республика Калмыкия,57.70867541
2020-10-01,Республика Карачаево-Черкессия,48.1661517
2020-10-01,Республика Карелия,48.70572672
2020-10-01,Республика Коми,55.75270028
2020-10-01,Республика Марий Эл,52.19803792
2020-10-01,Республика Саха (Якутия),39.68813523
2020-10-01,Республика Северная Осетия-Алания,55.19290521
2020-10-01,Республика Татарстан,34.5410215
2020-10-01,Республика Тыва,30.43449247
2020-10-01,Республика Хакасия,50.43245179
2020-10-01,Ростовская область,42.61066526
2020-10-01,Рязанская область,47.13038464
2020-10-01,Самарская область,45.69661209
2020-10-01,Санкт-Петербург,27.9942266
2020-10-01,Саратовская область,54.17524811
2020-10-01,Сахалинская область,33.75909192
2020-10-01,Свердловская область,38.83411559
2020-10-01,Смоленская область,52.56844442
2020-10-01,Ставропольский край,45.32386219
2020-10-01,Тамбовская область,46.05694614
2020-10-01,Тверская область,46.03603891
2020-10-01,Томская область,42.10257217
2020-10-01,Тульская область,42.62754081
2020-10-01,Тюменская область,40.51979624
2020-10-01,Удмуртская Республика,42.43048198
2020-10-01,Ульяновская область,49.2585079
2020-10-01,Хабаровский край,40.26258533
2020-10-01,Челябинская область,53.18445232
2020-10-01,Чеченская Республика,71.72516537
2020-10-01,Чувашская Республика,46.844823
2020-10-01,Чукотский АО,51.90318355
2020-10-01,Ярославская область,47.39169355
